Liczba watkow,Czas [s]
1,1.02258
2,0.527382
3,0.35501
4,0.269196
5,0.209309
6,0.178565
7,0.156954
8,0.134849
9,0.123146
10,0.114065
11,0.106579
12,0.0982475
13,0.0912071
14,0.0876249
15,0.0814394
16,0.0761918
17,0.0712381
18,0.071952
19,0.0672642
20,0.0684398
21,0.0803252
22,0.0808304
23,0.0913516
24,0.088845
25,0.0876672
26,0.0832831
27,0.0817583
28,0.0807609
29,0.0774698
30,0.0775943
31,0.073081
32,0.0749452
33,0.0736597
34,0.0717052
35,0.0688632
36,0.0699322
37,0.0678071
38,0.0713687
39,0.0643146
40,0.0657762
41,0.0786895
42,0.0770479
43,0.075375
44,0.0750609
45,0.0726368
46,0.0733048
47,0.0709694
48,0.0694412
49,0.0675094
50,0.0680325
