Liczba watkow,Czas [s]
1,10.079
2,5.03444
3,3.3886
4,2.56981
5,2.08438
6,1.74934
7,1.50957
8,1.34496
9,1.20831
10,1.09754
11,1.00987
12,0.936401
13,0.890256
14,0.811897
15,0.763286
16,0.753032
17,0.691733
18,0.640969
19,0.654225
20,0.657964
21,0.641433
22,0.624564
23,0.634687
24,0.667285
25,0.695894
26,0.682945
27,0.696299
28,0.677624
29,0.717765
30,0.670792
31,0.697182
32,0.689412
33,0.687623
34,0.70436
35,0.71006
36,0.718075
37,0.683078
38,0.672669
39,0.682554
40,0.631933
41,0.59439
42,0.626226
43,0.628699
44,0.654926
45,0.661346
46,0.610626
47,0.664708
48,0.652859
49,0.647027
50,0.688118
